"ResourceType","TerraformName","MicrosoftProvider","APIVersions","MappingSource","DocumentationPath"
"DataSource","azurerm_aadb2c_directory","Microsoft.AzureActiveDirectory","2021-04-01-preview","GeneratedAPISection","website/docs/d/aadb2c_directory.html.markdown"
"DataSource","azurerm_active_directory_domain_service","Microsoft.AAD","2021-05-01","GeneratedAPISection","website/docs/d/active_directory_domain_service.html.markdown"
"DataSource","azurerm_advisor_recommendations","Microsoft.Advisor","2023-01-01","GeneratedAPISection","website/docs/d/advisor_recommendations.html.markdown"
"DataSource","azurerm_api_connection","Microsoft.Web","2016-06-01","GeneratedAPISection","website/docs/d/api_connection.html.markdown"
"DataSource","azurerm_api_management","Microsoft.ApiManagement","2024-05-01, 2022-08-01","GeneratedAPISection","website/docs/d/api_management.html.markdown"
"DataSource","azurerm_api_management_api","Microsoft.ApiManagement","2022-08-01","GeneratedAPISection","website/docs/d/api_management_api.html.markdown"
"DataSource","azurerm_api_management_api_version_set","Microsoft.ApiManagement","2022-08-01","GeneratedAPISection","website/docs/d/api_management_api_version_set.html.markdown"
"DataSource","azurerm_api_management_gateway","Microsoft.ApiManagement","2022-08-01","GeneratedAPISection","website/docs/d/api_management_gateway.html.markdown"
"DataSource","azurerm_api_management_gateway_host_name_configuration","Microsoft.ApiManagement","2022-08-01","GeneratedAPISection","website/docs/d/api_management_gateway_host_name_configuration.html.markdown"
"DataSource","azurerm_api_management_group","Microsoft.ApiManagement","2022-08-01","GeneratedAPISection","website/docs/d/api_management_group.html.markdown"
"DataSource","azurerm_api_management_product","Microsoft.ApiManagement","2022-08-01","GeneratedAPISection","website/docs/d/api_management_product.html.markdown"
"DataSource","azurerm_api_management_subscription","Microsoft.ApiManagement","2022-08-01","GeneratedAPISection","website/docs/d/api_management_subscription.html.markdown"
"DataSource","azurerm_api_management_user","Microsoft.ApiManagement","2022-08-01","GeneratedAPISection","website/docs/d/api_management_user.html.markdown"
"DataSource","azurerm_api_management_workspace","Microsoft.ApiManagement","2024-05-01","GeneratedAPISection","website/docs/d/api_management_workspace.html.markdown"
"DataSource","azurerm_app_configuration","Microsoft.AppConfiguration","2024-05-01","GeneratedAPISection","website/docs/d/app_configuration.html.markdown"
"DataSource","azurerm_app_configuration_key","","","Unmapped","website/docs/d/app_configuration_key.html.markdown"
"DataSource","azurerm_app_configuration_keys","","","Unmapped","website/docs/d/app_configuration_keys.html.markdown"
"DataSource","azurerm_app_service_certificate","Microsoft.Web","2023-12-01","GeneratedAPISection","website/docs/d/app_service_certificate.html.markdown"
"DataSource","azurerm_app_service_certificate_order","Microsoft.CertificateRegistration","2023-12-01","GeneratedAPISection","website/docs/d/app_service_certificate_order.html.markdown"
"DataSource","azurerm_app_service_environment_v3","Microsoft.Web","2023-01-01","GeneratedAPISection","website/docs/d/app_service_environment_v3.html.markdown"
"DataSource","azurerm_application_gateway","Microsoft.Network","2025-01-01","GeneratedAPISection","website/docs/d/application_gateway.html.markdown"
"DataSource","azurerm_application_insights","Microsoft.Insights","2020-02-02","GeneratedAPISection","website/docs/d/application_insights.html.markdown"
"DataSource","azurerm_application_security_group","Microsoft.Network","2025-01-01","GeneratedAPISection","website/docs/d/application_security_group.html.markdown"
"DataSource","azurerm_arc_machine","Microsoft.HybridCompute","2022-11-10","GeneratedAPISection","website/docs/d/arc_machine.html.markdown"
"DataSource","azurerm_arc_resource_bridge_appliance","Microsoft.ResourceConnector","2022-10-27","GeneratedAPISection","website/docs/d/arc_resource_bridge_appliance.html.markdown"
